pair_idx,pair_id,mapping,source_domain,target_domain,structure_type,source_question,source_answer,target_question,target_answer,logical_equivalence,domain_independence,difficulty_parity,self_containment,verdict,failure_modes,notes
1,6c8d2cec-46ad-40e0-b535-7effc89df3df,biology_to_earth_science,biology,earth_science,unknown,"A researcher is experimenting with nerve transmission using neurons from a giant squid. At the beginning of the experiment, the axon is at rest and has a threshold measured at –70 mV at 37oC. The axon receives one stimulus that triggers one action potential in the axon. Subsequent stimuli are much stronger. Which of the following statements explains what happens when several strong stimuli are experienced by the axon?
A) The axon becomes hyperpolarized to –90 mV.
B) The axon becomes hyperpolarized to –50 mV.
C) The strength of the action potential becomes greater.
D) The frequency of the action potential increases.",D) The frequency of the action potential increases.,"A geologist is studying earthquake wave propagation through Earth's crust. At the beginning of observation, a seismometer is at rest with a detection threshold of 0.5 mm ground displacement at 15°C. The seismometer records one seismic wave that exceeds the detection threshold. Subsequent seismic waves arriving at the location are much stronger in amplitude. Which of the following statements explains what happens when several strong seismic waves are experienced by the seismometer?
A) The seismometer's threshold increases to 1.0 mm.
B) The seismometer's threshold decreases to 0.3 mm.
C) The amplitude of individual recorded waves becomes greater.
D) The number of wave events recorded per unit time increases.",D) The number of wave events recorded per unit time increases.,,,,,,,
2,d1b8bae9-c188-4010-aa7c-5a1c41c012d0,physics_to_earth_science,physics,earth_science,unknown,"A table supports a wooden block placed on the tabletop. Which fundamental force of nature is responsible for this interaction, and why?
A) The electric force, because the protons in the nuclei of the top atomic layer of the table repel the nuclei in the bottom atomic layer of the wood.
B) The gravitational force, because by F = GMm/r^2, the force of the table on the wood at that close range is sufficient to balance the force of the Earth on the wood.
C) The electric force, because the outer electrons in the top atomic layer of the table repel the outer electrons in the bottom atomic layer of the wood.
D) The strong nuclear force, because the protons in the nuclei of the top atomic layer of the table repel the nuclei in the bottom atomic layer of the wood.","C) The electric force, because the outer electrons in the top atomic layer of the table repel the outer electrons in the bottom atomic layer of the wood.","Water molecules adhere to the surface of soil particles in the vadose zone above the water table. Which fundamental force of nature is primarily responsible for this adhesion, and why?
A) The gravitational force, because the mass of water molecules is attracted to the larger mass of soil particles by F = GMm/r².
B) The electromagnetic force, because polar water molecules are attracted to charged or polar sites on soil particle surfaces through electrostatic interactions.
C) The strong nuclear force, because the hydrogen nuclei in water molecules bond directly with nuclei in the soil minerals.
D) The weak nuclear force, because it mediates the decay of radioactive isotopes in soil that attracts water molecules.","B) The electromagnetic force, because polar water molecules are attracted to charged or polar sites on soil particle surfaces through electrostatic interactions.",,,,,,,
3,625d2cde-0657-44c0-b1d5-e66de3cfad58,chemistry_to_earth_science,chemistry,earth_science,unknown,"During the study of the reaction A → 2B, a chemist constructs several graphs. The graph of [A] versus time and the graph of ln [A] versus time both give a curved line; however, the graph of 1/[A] versus time and gives a straight line. This implies the rate law is
A) Rate = k[A]
B) Rate = k[A]^2
C) Rate = k[A]^0
D) Rate = k[A]^-1",B) Rate = k[A]^2,"A hydrologist studying groundwater flow through an aquifer measures hydraulic head at various distances from a pumping well and creates several graphs. The graph of h (hydraulic head) versus r (radial distance) and the graph of 1/h versus r both give curved lines; however, the graph of h versus ln r gives a straight line. This implies the head distribution follows:
A) Linear relationship: h = h₀ + kr
B) Logarithmic relationship: h = h₀ + k ln r
C) Power law: h = h₀r^k
D) Exponential relationship: h = h₀e^(kr)",B) Logarithmic relationship: h = h₀ + k ln r,,,,,,,
4,0dbb5cf1-b20f-40dc-9274-86334d581402,chemistry_to_biology,chemistry,biology,formula_recall_and_substitute,"At $298.15 \mathrm{~K}, \Delta G_f^{\circ}(\mathrm{HCOOH}, g)=-351.0 \mathrm{~kJ} \mathrm{~mol}^{-1}$ and $\Delta G_f^{\circ}(\mathrm{HCOOH}, l)=-361.4 \mathrm{~kJ} \mathrm{~mol}^{-1}$. Calculate the vapor pressure of formic acid at this temperature.",1.51,"A population of bacteria is growing in a chemostat with a dilution rate of 0.45 h^(-1). The maximum specific growth rate (μmax) of the bacteria is 0.85 h^(-1), and the saturation constant (Ks) is 2.5 g/L. At steady state, calculate the substrate concentration in the chemostat using the Monod equation.",2.81 g/L,,,,,,,
5,543efaae-ff91-40dd-b6ca-497dae687db9,physics_to_chemistry,physics,chemistry,unknown,"An observer O at rest midway between two sources of light at x = 0 and x = 10 m observes the two sources to flash simultaneously. According to a second observer O', moving at a constant speed parallel to the x-axis, one source of light flashes 13 ns before the other. Which of the following gives the speed of O' relative to O?
A) 0.13c
B) 0.15c
C) 0.36c
D) 0.53c",C) 0.36c,"A chemist measures the pH of two buffer solutions, one at position A and one at position B (separated by 10 cm), and finds them both to have pH = 7.00 at the same instant. A second chemist moving at constant velocity parallel to the line connecting A and B measures the pH of solution A to be 7.00 exactly 13 ns before measuring solution B to be 7.00. The pH measurements are made using light signals from pH-sensitive fluorescent dyes that emit at the instant pH = 7.00 is reached during a titration. Which of the following gives the speed of the second chemist relative to the first? A) 0.13c B) 0.15c C) 0.36c D) 0.53c",C) 0.36c,,,,,,,
6,f610d198-a9a5-4ad9-b5ff-8e692f7b786c,physics_to_biology,physics,biology,unknown,"Why does the plasma (ion) tail of a comet always point away from the Sun?
A) Radiation pressure from the Sun's light pushes the ions away.
B) The conservation of the angular momentum in the tail keeps it always pointing away from the Sun.
C) The ions are following Keplerian orbits that lead away from the Sun.
D) The solar wind electromagnetically ""blows"" the ions directly away from the Sun.","D) The solar wind electromagnetically ""blows"" the ions directly away from the Sun.","Why do the flagella of motile bacteria always point away from the direction of travel during swimming?
A) Brownian motion randomly orients the flagella backward.
B) The conservation of rotational momentum in the flagellum keeps it always pointing backward.
C) The flagella follow helical trajectories that naturally trail behind.
D) Hydrodynamic drag forces push the flagella directly backward relative to the cell body.",D) Hydrodynamic drag forces push the flagella directly backward relative to the cell body.,,,,,,,
7,c6a514df-e893-467e-a47f-d7a3032edac9,physics_to_biology,physics,biology,unknown,"The belts and zones of Jupiter are
A) names for the layers of gaseous and metallic hydrogen deep within the planet.
B) alternating bands of rising and falling air at different latitudes.
C) alternating regions of charged particles in Jupiter's magnetic field.
D) regions of the plasma torus created by ions from Io's volcanoes",B) alternating bands of rising and falling air at different latitudes.,"The white and gray matter of the spinal cord are
A) names for the meningeal layers of dura mater and pia mater surrounding the cord.
B) alternating regions of myelinated axons and neuronal cell bodies at different locations.
C) alternating zones of sensory and motor neurons in the dorsal root ganglia.
D) regions of cerebrospinal fluid created by secretions from ependymal cells.",B) alternating regions of myelinated axons and neuronal cell bodies at different locations.,,,,,,,
8,2c39f451-5dae-4ed5-8230-01e2bd728094,physics_to_earth_science,physics,earth_science,unknown,"A particle is constrained to move in a circle with a 10-meter radius. At one instant, the particle’s speed is 10 meters per second and is increasing at a rate of 10 meters per second squared. The angle between the particle’s velocity and acceleration vectors is
A) 0°
B) 30°
C) 45°
D) 60°",C) 45°,"A point on Earth's equator moves in a circular path with a 6,371-kilometer radius due to Earth's rotation. At one instant, the tangential velocity is 464 meters per second and the rate of change of this velocity (due to tidal forces) is 0.0334 meters per second squared. The angle between the velocity vector and the total acceleration vector is
A) 0°
B) 30°
C) 45°
D) 60°",C) 45°,,,,,,,
9,c3a63127-022f-4b37-be02-6ffadf9b79c7,physics_to_chemistry,physics,chemistry,unknown,"A liquid flows at a constant flow rate through a pipe with circular cross-sections of varying diameters. At one point in the pipe, the diameter is 2 cm and the flow speed is 18 m/s. What is the flow speed at another point in this pipe, where the diameter is 3 cm?
A) 4 m/s
B) 6 m/s
C) 8 m/s
D) 12 m/s",C) 8 m/s,"In an electrochemical cell, electrons flow at a constant rate through conducting wires of different cross-sectional areas. At one point in the circuit, the wire has a cross-sectional area of 0.50 mm² and the current density is 24 A/mm². What is the current density at another point where the wire has a cross-sectional area of 0.75 mm²?
A) 12 A/mm²
B) 16 A/mm²
C) 18 A/mm²
D) 36 A/mm²",B) 16 A/mm²,,,,,,,
10,32daf227-c14a-450a-b461-bf11726f1228,chemistry_to_earth_science,chemistry,earth_science,unknown,"3,3,6-trimethylhepta-1,5-dien-4-one is treated with 1 equivalent of meta-chloroperbenzoic acid. Two different products are formed, in approximately a 1:1 ratio.

In a separate vessel, Methyllithium is treated with copper(I)iodide. an excess of the resulting solution is slowly added to the product mixture of the first reaction. Name one product that will be formed by this reaction:","6-hydroxy-2,2,5,5-tetramethyloctan-4-one","A sediment core from the deep ocean shows two distinct layers. The upper layer (0-50 cm) contains foraminiferal tests with δ¹⁸O values averaging +2.5‰ VPDB. The lower layer (50-100 cm) contains foraminiferal tests with δ¹⁸O values averaging +1.2‰ VPDB. Using the paleotemperature equation, the upper layer represents water temperatures of 2°C and the lower layer represents 8°C. A volcanic ash layer at 45 cm depth is dated to 18,000 years BP. Subsequently, pore water analysis reveals two distinct diagenetic zones: Zone 1 (0-60 cm) where sulfate reduction is active, and Zone 2 (60-100 cm) where methanogenesis dominates. What is the primary diagenetic mineral that will precipitate at 75 cm depth? (Given: sulfate reduction produces HS⁻ which combines with dissolved Fe²⁺ to form pyrite; methanogenesis produces CH₄ and CO₃²⁻ which combines with Ca²⁺ to form authigenic carbonate)",authigenic carbonate (calcite or dolomite),,,,,,,
11,102cdb5e-9205-4ef4-bfdd-91587c273711,chemistry_to_earth_science,chemistry,earth_science,formula_recall_and_substitute,"The sedimentation coefficient of lysozyme $\left(\mathrm{M}=14,100 \mathrm{~g} \mathrm{~mol}^{-1}\right)$ in water at $20^{\circ} \mathrm{C}$ is $1.91 \times 10^{-13} \mathrm{~s}$ and the specific volume is $0.703 \mathrm{~cm}^3 \mathrm{~g}^{-1}$. The density of water at this temperature is $0.998 \mathrm{~g} \mathrm{~cm}^{-3}$ and $\eta=1.002 \mathrm{cP}$. Assuming lysozyme is spherical, what is the radius of this protein?",1.94,"A spherical hailstone falls through the atmosphere at a terminal velocity of 12.5 m/s. The density of ice is 917 kg/m³ and the density of air at the altitude of interest is 1.20 kg/m³. The dynamic viscosity of air is 1.83 × 10⁻⁵ Pa·s. Assuming Stokes flow conditions apply, what is the radius of the hailstone?",2.01 mm,,,,,,,
